Store Name, Address
Snax Max 8,5001 S 31st ST.  Temple  TX 76502
Texstar Travel Center,1300 N General Bruce Dr  Temple  TX 76504
Break Time,7605 Blvd 26 N  Richland Hills  TX 76180
Alvarado Market,1100 W Hwy 67  Alvarado  TX 76009
South Lake Food Mart,2210 W South Lake BLVD  South Lake  TX 76092
Third Chance,3000 W University Dr  Denton  TX 76201
Gateway 49,305 N Frontage RD  Valley View  TX 76272
Green Oaks Shell,1461 West Green Oaks Blvd.  Arlington  TX 76013
Sublett Shell,4810 Sublett Rd.  Arlington  TX 76017
Tim’s Grocery Store A,231 Lake Murray Drive East  Ardmore  OK 73401
Grand Central Express,102 N. Grand Ave  Gainesville  TX 76240
Sidaks Petro 3,2430 N. Fielder Rd.   Arlington  TX 76012
CHECKOUT 52,4849 LEOPARD STREET  CORPUS CHRISTI  TX 78408
GATEWAY 48,5351 William D Tate Ave.  Grapevine  TX 76051
82 Travel Center,5101 E. 82 highway  Gainesville   TX 76040
Prescott Meat Market,4414 Prescott St  Corpus Christi  TX 78416
Start Track Food &amp; Beverage,12977 Trinity Blvd  Euless  TX 76040
Knox Fuel Stop,200 S I-35  Red Oak  TX 75154
Q Mart,2101 Sherry St.  Arlington  TX 76010
WILLIAMS FOODS #4,200 EAST HWY 33  PERKINS  OK 74059
Tigermart #47,3051 Mayfield Rd.  Grand Prarie  TX 75052
CHECKOUT 57,5602 SOUTH PADRE ISLAND DRIVE  CORPUS CHRISTI  TX 78412
CHECKOUT 56,6302 SARATOGA BLVD  CORPUS CHRISTI  TX 78414
Lucky Texan #1,4243 W Pioneer Dr  Irving  TX 75061
CHECKOUT 54,1201 WILDCAT DR  PORTLAND  TX 78374
Maypearl Quick Stop,700 N. Main St. Suite A  Maypearl  TX 76064
Gateway 57,925 N. Belt Line Rd.  Grand Prairie  TX 75050
Johnny Joe’s,1020 W Eldorado Pkwy  Little Elm  TX 75068
WILLIAMS FOODS #2,1812 EAST FIRST ST  CHANDLER  OK 74834
Sams Stop,2748 Main Street  Ingleside  TX 78362
Chilly Mart,2220 Marsh Lane  Carrollton  TX 75006
TIGERMART 46,8702 S. Polk St  Dallas  TX 75232
Quick Save #5,225 W. Illinois Ave.  Dallas  TX 75224
Tigermart #41,2100 Brown St.  Waxahache  TX 75165
Ultimate Stop,8210 Lancaster Rd  Dallas  TX 75241
Gateway 36,901 E Ovilla Rd.  Red Oak  TX 75154
CHECKOUT 53,3105 HWY 35 N  ROCKPORT  TX 78382
Wms EXPRESS #5,821 WEST MAIN ST.  STROUD  OK 74079
Lucky Texan #8,5001 S Buckner Blvd  Dallas  TX 75227
Lucky Texan #6,180 Murdock Rd  Dallas  TX 75217
Ramy’s Mart,406 E. Main St.  Allen  TX 75002
Kwik Way,525 S Walnut St  Sherman  TX 75090
Shell – Ennis,10360 W. Ennis Ave.  Ennis  TX 75119
Park In Beverage,5014 Texoma Pkwy  Denison  TX 75020
Lucky Texan #4,4290 S. Beltline Rd.  Balch Springs  TX 75180
MO’S EXXON,411 HWY 78  LAVON  TX 75166
Billy B’s,370904 US-64  Cleveland  OK 74020
WILLIAMS FOODS #6,201 E 7TH.  BRISTOW  OK 74010
Big Dely Food Mart,1010 S 7th St.  Corsicana  TX 75110
MO’S EXXON INC,7514 SH 66  ROYSE CITY  TX 75189
Quick Stop Food Store,102 East Austin St   Port Lavaca  TX 77979
Josephine Market,320 W. Cook St.  Josephine  TX 75173
AM PM Express,1006 W Main St  Brenham  TX 77833
Foodbucket #1,2145 Highway 290 W   Brenham  TX 77833
TIGERMART #57,7500 Wesley St.  Greenville  TX 75402
ZK Stop,1115 E 61st St  Tulsa  OK 74136
For Your Convenience #1,420 W 14th St  Bartlesville  OK 74003
CHECKOUT 63,1809 MEYER ST  SEALY  TX 77474
Stop N Save,1605 S. Memorial  Tulsa  OK 74112
Jumpstart,5920 Sorensen PKWY  Omaha  NE 68152
Valero,2604 S 13th st.   Omaha  NE 
CHECKOUT 62,225 FM 359 SOUTH  BROOKSHIRE  TX 77423
1-80 Liquor,2411 S 24th Street   Council Bluffs   IA 51501
CHECKOUT 41,21480 Fairfield Place Dr  Cypress  TX 77433
