Store Name, Address
        Hibbing   ,       1135 East 37th Street	Hibbing  MN	55745   
        Elizabeth   ,       34013 Co Rd 13 Elizabeth  CO 80107   
        Richmond   ,       11310 Patterson Ave Richmond  VA 23238   
        Goldenrod Orlando   ,       4980 Hall Rd	Orlando  FL 32817   
        Royal Oaks Kansas City   ,       5151 East Red Bridge Road Kansas City  MO 64137   
        Stratford Estates Kansas City   ,       10921 Hickman Mills Dr Kansas City  MO 64137   
        Pine Hills Orlando   ,       719 N Powers Dr. Orlando  FL 32818   
        South Gate   ,       13307 Paramount Blvd South Gate  CA 90280   
        Lake Elsinore   ,       29280 Central Ave # A Lake Elsinore  CA 92532   
        Valley College San Bernardino   ,       907 W Mill St San Bernardino CA 92410   
        Rockledge   ,       2000 south US-1 Rockledge  FL 32955   
        North Cocoa   ,       4000 North US-1 Cocoa  FL 32927   
        Flagler Beach   ,       6020 hwy 100 Flagler Beach  FL 32136   
        Wedgefield Orlando   ,       20733 Macon parkway Orlando  FL 32833   
        South Crestville   ,       3802 south Ferdon Blvd Crestview  FL 32536   
        Southwest Titusville   ,       3590 Cheney hwy	Titusville FL 32780   
        Southwest Palm Bay   ,       3490 Bayside Lakes Blvd SE Palm Bay  FL 32909   
        Cocoa West   ,       4220 west king st Cocoa  FL 32926   
        Mille Lacs Lake Aitkin   ,       22856 US 169 Aitkin  MN 56431   
        Aitkin   ,       13 2nd St NW Aitkin  MN 56431   
        Mora   ,       900 MN 65 Mora  MN 55051   
        Hayward   ,       15771 US Hwy 63 Hayward  WI	54843   
        Spooner   ,       730 S River St. Spooner  WI 54801   
        Siren   ,       24184 WI-35 Siren  WI 54872   
        Bethany   ,       3800 Miller St. Bethany  MO 64424   
        Victory Hills Kansas City   ,       8535 State Ave Kansas City  KS 66112   
        Eustis   ,       16014 US-441 Eustis  FL 32726   
        Jupiter   ,       3 FL A1AAlt Jupiter  FL 33477   
        Palm Beach Gardens   ,       10800 N Military Trail. unit 120 West Palm Beach  FL 33410   
        Altoona   ,       42409 N Hwy 19 Altoona  FL 33702   
        Homeland   ,       31190 CA-74 Homeland  CA 92548   
        Huntington Ocala   ,       2965 SE 58 Ave. Ocala  FL 34480   
        Silver Springs   ,       5245 E Silver Springs Blvd Silver Springs  FL 34488   
        Southeast Cocoa   ,       4601 West King St. Cocoa  FL 32926   
        Durham   ,       2944 Holloway St. Durham  NC 27703   
        Columbia South Carolina   ,       7621 Garners Ferry Rd. Columbia  SC 29209   
        Spartanburg   ,       207 Cedar Springs Rd. Spartanburg  SC 29302   
        Northwest Phoenix   ,       7806 N 27th Ave Phoenix  AZ 85051   
        Egg Harbor Township   ,       6101 E Black Horse Pike Egg Harbor Township  NJ 08234   
        Manchester   ,       6735 Murfreesboro Hwy Manchester  TN 37355   
        Quinton   ,       2301 Pocahontas Trail Quinton  VA 23141   
        Arcadia   ,       419 S 1st Ave. Arcadia  CA 91006   
        Santa Anita Arcadia   ,       2 E Duarte Rd. Arcadia  CA 91006   
        Annapolis   ,       2056 West St. Annapolis  MD 21401   
        Virginia Beach   ,       5924 Indian River Rd. Virginia Beach  VA 23464   
        Boise   ,       1007 W Main St. Boise  ID 83702   
        South Area Wichita   ,       1651 E MacArthur Rd. Wichita  KS 67216   
        Planeview United Wichita   ,       3131 S Hillside St. Wichita  KS 67216   
        Palmer Park Colorado Springs   ,       4819 Barnes Rd. Colorado Springs  CO 80917   
        Southeast Colorado Springs   ,       2555 Delta Dr. Colorado Springs  CO 80910   
        Northeast Colorado Springs   ,       3630 Austin Bluffs Pkwy #170 Colorado Springs  CO 80918   
        Galloway   ,       68 W Jimmie Leeds Rd. Galloway  NJ 08205   
        Waldo   ,       15295 NE US 301 Waldo  FL 32694   
        Gainesville   ,       7401 W Newberry rd. Gainesville  FL 32605   
        College of Central Florida Ocala   ,       3401 SW College Rd. Ocala  FL 34474   
        Tulsa   ,       6110 S Peoria Ave Tulsa  OK 74136   
        Mission Bay   ,       2892 Mission Blvd San Diego  CA 92019   
        Buckner Dallas   ,       4625 S Buckner Blvd Dallas  TX 75227   
        Jefferson   ,       492 Athens St. Jefferson  GA 30549   
        Redwood City   ,       699 El Camino Real Redwood City  CA 94063   
        Normal Heights San Diego   ,       2740 Adams Ave San Diego  CA 92116   
        North Colorado Springs   ,       2871 Dublin Blvd Colorado Springs  CO 80918   
        Southeast Wichita   ,       5600 W MacArthur Rd. Wichita  KS 67215   
        El Dorado   ,       1631 W Central Ave El Dorado  KS 67042   
        East Wichita   ,       1622 S West St. Wichita  KS 67213   
        Sherrelwood Denver   ,       7310 Broadway Denver  CO 80221   
        Northeast Wichita   ,       6330 E 21st St N #1808 Wichita  KS 67208   
        Jersey City   ,       465 Grand St. Jersey City  NJ 07302   
        Park City   ,       6209 N Broadway Park City  KS 67219   
        Plant City   ,       4612 State Road 574 Plant City  FL 33563   
        Palm Bay   ,       3090 Jupiter Blvd SE Palm Bay  FL 32909   
        St. Augustine   ,       1710 State Rd 207 St. Augustine  FL 32086   
        Chapel Hill Village Indianapolis   ,       7440 Rockville Rd. Indianapolis  IN 46214   
        West Vista   ,       600 Hacienda Dr. Vista  CA 92081   
        La Placita Park Wichita   ,       802 N West St. Wichita  KS 67203   
        College View Estates Melbourne   ,       4001 N Wickham Road Melbourne  FL 32935   
        North Ocala   ,       3495 W Anthony Rd Ocala  FL 34475   
        Cocoa   ,       7175 US-1 S Cocoa  FL 32927   
        South Daytona   ,       601 Beville Road South Daytona  FL 32119   
        College Park Orlando   ,       3460 Edgewater Dr. Orlando  FL 32804   
        St. Petersburg   ,       5100 34th St S St. Petersburg  FL 33711   
        Port Orange   ,       1591 Dunlawton Ave Port Orange  FL 32127   
        Lakeland   ,       820 E Memorial Blvd Lakeland  FL 33801   
        Daytona Beach   ,       2625 Beville Road Daytona Beach  FL 32119   
        Maricamp Ocala   ,       3130 SE 36 Ave Ocala  FL 34471   
        Eustis   ,       1905 N hwy 19 Eustis  FL 32726   
        Northeast Ocala   ,       1402 NE 25 Ave Ocala  FL 34470   
        Central Escondido   ,       240 W Mission Ave suite d Escondido  CA 92025   
        Colorado Springs   ,       5607 Barnes Rd #110 Colorado Springs  CO 80917   
        Vista   ,       1526 S Santa Fe Ave Vista  CA 92084   
        San Marcos   ,       740 Nordahl Rd #112 San Marcos  CA 92069   
        Bay Ho San Diego   ,       4384 Moraga Ave San Diego  CA 92117   
        Sun Valley Denver   ,       900 Federal Blvd Denver  CO 80204   
        Titusville   ,       1829 Knox McRae Dr. Titusville  FL 32780   
        City Park West Denver   ,       1816 E Colfax Ave Denver  CO 80218   
        Dixon   ,       1405 Ary Lane Dixon  CA 95620   
        Wichita   ,       2849 W 13th St N #1820 Wichita  KS 67203   
        Brentwood Jacksonville   ,       1027 Golfair Blvd Jacksonville  FL 32209   
        Live Oak   ,       6886 Suwannee Plaza Lane Live Oak  FL 32060   
        Fort Myers Shores   ,       2311 Buckingham Rd. Fort Myers  FL 33905   
        Southeast Ocala   ,       8140 SE 58th Ave Ocala  FL 34480   
        Pebble Creek Tampa   ,       19090 Bruce B Downs Tampa  FL 33647   
        Temecula   ,       44564 Pechanga Pkwy Temecula  CA 92592   
        Anthony   ,       9520 NE Jacksonville Rd. Anthony  FL 32617   
        Essex   ,       724 Eastern Blvd Essex  MD 21221   
        Covington   ,       1058 GA-142 Covington  GA 30014   
