Store Name, Address, Opening Hours
Bonfare Markets #33,809 20th Street,Monday-Wednesday: 6:00 AM – 12:00 AM Thursday: 6:00 AM – 1:00 AM Friday-Saturday: 6:00 AM – 2:00 AM Sunday: 7:00 AM – 12:00 AM
Chevron,2400 Fruitridge Rd,24/7
Circle K,5038 Madison Ave.,24/7
AJ Hundal Mart,2434 W Capitol Rd,Monday-Friday: 6:00 AM-11:00 PM Saturday-Sunday: 6:00 AM - 10:00 PM
Muir Way Market,2736 Muir Way,Mon-Sun: 7:00am - 8:00pm
Capital City Liquors,3315 Northgate Blvd,Mon-Sun: 6:00am - 12:00am
Paradise Liquor &amp; Mart,1580 N Mt Vernon Ave,Monday-Sunday: 8:00 AM-11:00 PM
Chevron,1670 Devore Rd,24/7
Shop N Go,245 N Waterman Ave Suite L-K,Mon-Sun: 9:00am - 9:00pm
Liquor Mart,10497 San Diego Mission Rd,Mon-Thur: 7:00am -12:00am Fri-Sat: 7:00am - 1:00am Sun: 9:00am - 11:00am
Fashion Valley,7007 Friars Rd,Mon-Sat: 10:00am - 9:00pm
Pearson Fuels,4067 El Cajon Blvd,24/7
Mobil Gas Station,4404 Ingraham St,24/7
Circle K,3154 El Cajon Blvd,24/7
Circle K,10821 Tierrasanta Blvd,24/7
Circle K,1102 Hollister St,24/7
EBK Fuels,5345 Kearny Villa Road,Mon-Fri: 5:00am - 10:00pm Sat: 7:00am - 10:00pm Sun: 7:00am - 9:00pm
Party Time Liquor,5494 Mission Center Road,Mon-Sun: 5:00am - 12:00am
Party Time Liquor,4101 Market Street,Mon-Thur: 7:00am - 12:00am  Fri: 7:00am - 2:00pm Sat: 8:00am - 2:00am  Sun: 8:00am - 10:00pm
Party Time Liquor,1350 6th Ave Ste 130,Mon-Thur: 7:00am - 9:30pm  Fri: 7:00am - 10:00pm Sat: 9:00am - 9:00pm Sun: 9:00am - 6:00pm
Party Time Liquor,3435 Euclid Ave,Mon-Sat: 8:00am - 10:00pm Sun: closed
Circle K,13007 Camino Del Sur,24/7
Arco Gas,11244 Laurel Canyon Blvd.,24/7
Stop &amp; Shop Market,3000 Mission Street,Mon-Sun: 7:00 am - 2:00 am
Castro Gas and Food Mart,376 Castro Street,24/7
Dianna Market,282 9th St,Mon-Tue: 7:00am - 10:00pm Wed-Sat: 7:00am - 11:00pm Sun: 8:00am - 10:00pm
Jeet Big Times Smoke Shop,1444 Polk St,Mon-Thur: 10:00am - 1:00am Fri-Sat: 10:00am - 2:00am Sun: 10:00am - 1:00am
Cazadores Bottle Shop,3777 Williams Rd,Mon-Sun: 8:00am - 1:00am
Martin's Liquor,14319 E 14th St,Mon-Sun: 10:00am - 11:00pm
Chevron Gas,12424 Los Osos Valley Rd,24/7
Shoreview Liquors,420 S Norfolk St,Mon-Sun: 6:00am - 11:00pm
J&amp;M Liquors,14718 San Pablo Ave,Mon-Sun: 8:00am - 12:00am
Chevron Gas Station,1105 N Gaffey St,24/7
Santa Ana Gasoline,2702 W 1st St,24/7
Smoke and Gifts 4 Less,2431 N Tustin Ave # K,Mon-Sun: 7:00 am - 8:00 pm
SB Tobacco,614 N Milpas St,Mon-Sun: 8:00am - 8:30pm
Bob's Discount Liquor,3585 Benton St,Mon-Sun: 7:30am - 11:30pm
Quik Buy Market,2021 Homestead Rd,Mon-Sun: 7:00am - 10:00pm
Circle K,24010 Copper Hill Dr,24/7
