Store Name, Address, Opening Hours
Q's Smokes and Vape Shop,1407 E Dixie Drive,Mon-Sun: 9:00am - 9:00pm
Mini Mart,7 Rumbough Pl,Monday-Sunday: 8:00 am-10:00 pm
Quick Stop,1430 Merrimon Ave,Monday-Sunday: 6:00 AM- 12:00 AM
Asheville Mall,3 South Tunnel Road,Mon-Sun: 11:00am - 7:00pm
Rite Stop Market,507 N Graham Hopedale Rd,Mon-Thu: 7:00am - 11:00pm Fri: 7:00am - 12:00am Sat: 8:00am - 12:00am Sun: 10:00am - 11:00pm
Kwik Way,2752 Alamance Road,Mon-Thur: 6:00am - 12:00am Fri-Sat: 6:00am - 1:00am Sun: 8:00am - 12:00am
Citgo,1122 E Morehead St,Mon-Thu: 7:00 am - 11:00 pm Fri-Sat: 7:00 am - 12:00 am Sun: 8:00 am - 10:00 pm
Exxon Gas,1401 W Main St,24/7
Mobil Gas,2703 NC-55,24/7
Exxon Gas,2418 SW Cary Pkwy,24/7
BP Gas,102 Gregson Dr,24/7
BP Gas,103 SW Maynard Road,24/7
Arrow Wood Citgo,7741 S Tryon St,Mon-Sun: 6:00am - 10:00pm
Northlake Mall,6801 Northlake Mall Drive,Mon-Sun: 10:00 am - 9:00 pm
Citgo,2635 Little Rock Rd #2721,Mon-Sat: 6:00am - 11:00pm Sun: 7:00am - 10:00pm
Fourth Ward Market,524 N. Graham St,Mon - Sat: 8:00 am - 10:00 pm Sun: 9:00 am - 10:00 pm
SouthPark Mall,4400 Sharon Rd,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Charlotte Premium Outlets,5404 New Fashion Way,Mon-Sun: 10:00am - 9:00pm
The Pop Shoppe,4640 Old Pineville Road,24/7
Circle K,9501 University City Blvd,24/7
Circle K,4530 Sunset Rd,24/7
Circle K,8910 Albemarle Rd.,24/7
EZ Mart,8438 Monroe Rd,Monday-Sunday: 6:00 AM-12:00 AM
Yorkmont BP,2904 Yorkmont Road,24/7
BP Gas,304 Pritchard Rd,Mon-Sun: 6:00 am - 11:00 pm
Exxon,11325 US 70 BUS,24/7
Concord Mills,8111 Concord Mills Blvd,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Mobil Gas,1203 W Club Blvd,Mon-Sun: 6:00 am - 12:00 am
Exxon,423 Pleasant Dr,24/7
Tommy's Mini Mart,1701 S Miami Blvd,Mon-Sat: 6am-10pm Sun: 7:30am-9:00pm
Shell,3801 N Duke St,24/7
M &amp; M Mini Mart,2128 Angier Ave,Mon-Sun: 6:30am - 11:00pm
Mobil Gas,704 Country Club Dr,Mon-Sun: 7am-10pm
Cross Creek Mall,419 Cross Creek Mall,Mon-Sun: 11:00am - 7:00pm
One Planet,305 N Main St,Mon-Sun: 7:00am - 10:00pm
BP Gas,401 Benson Hwy,24/7
Citgo,4408 Chapel Grove Rd,Mon-Sun: 7:00am - 8:00pm
Circle K,3302 S Holden Rd,24/7
Citgo Fast Mart,1000 S Eugene St,Mon-Sun: 8:30am - 11:00pm
Citgo,7340 W Friendly Ave.,24/7
Circle K,3101 Yanceyville St,24/7
Circle K,621 Green Valley Rd,24/7
Cicle K,1585 New Garden Rd,24/7
Citgo,3700 Spring Garden St,Mon-Sun: 6:00am - 12:00am
BP Gas,2600 Charles Boulevard,24/7
Five Points Food Mart,205 S Memorial Dr,24/7
Kwik Time,2515 Freeman Mill Road,Mon-Fri: 6am-12am Sat: 7am-12am Sun: 8am-12am
Whistle Express - Mobil,1001B W Main St,Mon-Thu: 6:00am - 10:00pm Fri-Sat: 6:00am - 11:00pm Sun: 8:00am - 9:00pm
Circle K,2350 US Hwy 70 SE,24/7
Circle K,2853 N Center St,24/7
Fairway One Stop,614 Greensboro Rd,Mon-Sun: 6:00am - 11:00pm
Pick N Go,1101 East Chester Drive,Mon-Sun: 6:00am - 12:00am
F &amp; B Mart,1010 N Main St,Mon-Sun: 6:00am - 12:00am
Citgo,3512 E M.L.K. Jr Dr,Mon-Sun: 10:00am - 9:00pm
Citgo,133 E Plaza Dr,Mon-Sun: 6:00am - 11:00pm
Green Apple Deli,705 Laurinburg Rd,24/7
Exxon Gas,8109 Falls of Neuse Rd,Mon-Sun: 6am-11pm
BP Gas,10550 Durant Rd,Mon-Thu: 6am-10pm Fri-Sat: 6am-11pm Sun: 7am-10pm
BP Gas,6927 Buffaloe Rd,Mon-Sun: 6:00 am - 12:00 am
Mobil Gas,2516 S Saunders St,24/7
Exxon Gas,8400 Creedmoor Rd,Mon-Sun: 5:45am-11:30pm
Valero Gas,6501 Glenwood Ave,24/7
Exxon Gas,7713 Lead Mine Rd,Mon-Sun: 6am-11pm
Exxon Gas,800 S New Hope Rd,24/7
Tobacco Barn Hookah Lounge,2 Dixie Trail,Mon-Thu: 10:00 am - 2:00 am  Fri-Sat: 10:00 am - 4:00 am  Sun: 4:00 pm - 2:00 am
BP Gas,2837 Wake Forest Rd,Mon-Sun: 5am-11pm
Mobil Gas,5633 Western Blvd,24/7
Exxon Gas,6601 Falls of Neuse Rd,24/7
Exxon Gas,3945 Western Blvd,24/7
Exxon Gas,2581 Gorman St,24/7
Exxon Gas,3525 S Wilmington St,24/7
BP Gas,3611 Hillsborough St,24/7
BP Gas,4120 Glenwood Ave,24/7
Exxon Gas Station,9409 Glenwood Ave,24/7
Exxon Gas,2823 Capital Blvd,24/7
BP Gas,5620 Atlantic Ave,Mon-Sun: 6am-12am
BP Gas,10100 Leesville Rd,Mon-Sun: 7am-11pm
Exxon Gas,446 Highway 70 East,24/7
HanDee Hugo's,4100 Oleander Dr,Mon-Sun: 4am-12am
Exxon Gas,5002 Market St,24/7
Handee Hugo's,5629 Carolina Beach Rd,Monday-Sunday: 4:30 AM-2:30 AM
Circle K,4001 Brownsboro Rd,24/7
Marimar Super Market,612 Waughtown St.,Mon-Sun: 8:30am - 11:00pm
Hanes Mall,3320 Silas Creek Pkwy,Mon-Sun: 11:00am - 7:00pm
Fairway One Stop,1305 N Liberty St,Mon-Sun: 6:00 am - 11:00 pm
Shell,1630 Silas Creek Pkwy,Mon-Sat: 6:00am - 10:00pm Sun: 6:00am - 9:00pm
Kirkwood Mall,706 Kirkwood Mall,Mon-Sun: 11:00am - 7:00pm
Dakota Square,2400 10th St. SW,Mon-Sun: 11:00am - 7:00pm
Cheviot Food Mart,5634 Cheviot Rd,Mon-Sun: 9:00am - 9:00pm
Shell,8151 WInton Road,Mon-Sun: 5:00am - 1:00am
Circle K,11435 Hamilton Avenue,24/7
Shaker Quality Foods,3753 Lee Road,Mon-Thu: 10:00 am - 10:00 pm Fri-Sat: 10:00 am - 11:00 pm Sun: 10:00 am - 6:00 pm
Bellaire Gas USA,3934 W 117th St,24/7
Rapid Stop Sunoco Station,1712 E 55th St,24/7
Henrys Marathon,3106 Fulton Rd,24/7
Harvard Gas USA,7020 Harvard Ave,24/7
Shell,7210 Memphis Ave,24/7
Broad &amp; Hague Marathon,2805 W Broad St,24/7
Beer Dock South,414 Frebis Ave,Mon-Sun: 8:00am - 12:00am
Smoke Outlet,2471 E Dublin Granville Rd,Mon-Sun: 9:00am - 9:00pm
Shell Gas Station,3960 Far Hills Ave,24/7
McGuire's,4211 N Main St,Mon-Sat: 9am-10pm Sun: 11am-8pm
Interstate Drive Thru,3579 Miamisburg-Centerville Road,Mon-Sun: 6am-12am
Shell Gas,6695 Perimeter Loop Rd,24/7
Gas USA,15317 Euclid Ave,24/7
Sunoco,1030 Kauffman Ave,Mon-Sat: 6:00am - 12:00am Sun: 7:00am - 12:00am
Circle K,6100 Dixie Hwy.,24/7
Stop and Go,1831 Fostoria Avenue,24/7
Sunoco,6900 Franklin Lebanon Rd,24/7
Turney Sunoco Gas Station,6009 Turney Rd,24/7
Circle K,3043 London Grove Port Road,24/7
Marathon,1007 Main St,24/7
Circle K,4235 Avery Road,24/7
Marathon Gas &amp; Tavern,7851 Old Troy Pike,24/7
Miami Wine &amp; Liquor,6565 Brandt Pike,Mon-Sun: 9am-10pm
Jake's 5 Star Convenience,65 Roxbury St,Mon-Sun: 6:00am - 10:00pm
Everything Computers and Electronics,17016 Madison Ave,Mon-Sat: 8:00 am - 7:00 pm  Sun: 12:00 pm - 5:00 pm
Lorain Smokes &amp; Beverage,2111 N Ridge Rd,Mon-Sun: 7:30am - 10:00pm
Circle K,10630 Loveland-Maderia,24/7
Marathon,495 Woodville Rd,Mon-Thu: 5:30am - 11:00pm Fri: 5:30am - 12:00am Sat: 6:00am - 12:00am Sun: 7:00am - 10:00pm
Super Saver,676 E Center St,24/7
Marathon Gas,5542 Kings Mill Road,24/7
Middletown Food Mart,512 N University Blvd,Mon-Sun: 6:00am - 11:00pm
Circle K,7701 Main Street,24/7
Great Northern,4954 Great Northern Mall,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
JJs Mini Mart,4101 Woodville Road,Mon-Sun: 6:00am - 11:00pm
Circle K,9204 Reading Rd,24/7
Sunoco,1024 E Home Rd,Mon-Sun: 6:00am - 12:00am
Springfield Food Mart,936 W North St,Mon-Sun: 5:00am - 1:00am
SouthPark Mall,500 Southpark Center,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Stop and Go,801 S. Byrne Rd,24/7
Stop and Go,1027 N. Reynolds Road,24/7
Stop and Go,3504 Lagrange Street,24/7
Gas &amp; Express Mart,1049 Western Ave,24/7
Franklin Park Mall,5001 Monroe St,Mon-Sat: 12:00pm - 7:00pm Sun: 11:00am - 6:00pm
Circle K,5677 Westchester Road,24/7
Jiffy Stop,2924 E Memorial Drive,Mon-Sat: 6am-12am Sun: 7am-11pm
Elm Street Smoke Shop,6013 SE 15th St.,Mon-Sun: 10:00am - 9:00pm
Circle K,800 NE 12th St,24/7
Circle K,201 W Britton Rd #3627,24/7
Start Quick Mart,4139 NW 10th Street,Mon-Sat: 7am-12am Sun: 7am-11pm
Down Town Plaza,1117 N Broadway Ave,Monday-Sunday: 5:30 am - 12:00 am
Penn Square Mall,1900 NW Expressway,Mon-Thu: 11:00am - 7:00pm Fri-Sat: 10:00am - 8:00pm Sun: 12:00pm - 6:00pm
Circle K,7900 N.W. Expressway,24/7
Circle K,2840 SW 59th St,24/7
Circle K,4501 NW 39th St,24/7
Kings Mart,7138 E 11th St,Mon-Thur: 7:00am - 11:00pm Fri-Sat: 7:00am - 11:30pm Sun: 7:00am - 11:00pm
Toreno Smoke and Vape Shop,11333 East 21st Street Ste  B,Mon-Sun: 10:00 am - 9:00 pm
Woodland Hills Mall,7021 S Memorial Dr,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Discount Smoke Shop,5144 S Peoria Ave,Mon-Sun: 9:00am - 10:30pm
Peter Convenience,1050 Upper Gage Ave,Mon-Sun: 7:00AM - 11:00PM
Valley Farm Variety,1472 Huron St,Mon-Fri: 7:30am - 10:30pm Sat-Sun: 8:00am -10:30pm
Blue J Convenience,1440 Jalna Blvd Unit 6,Mon-Sun: 5:00am - 11:00pm
Ben's Variety,324 Wharncliffe Rd S,24/7
Uptown News and Variety,100 Christina St S,Mon-Sun: 8:00am - 10:00pm
Double Double Convenience,927 Bloor St W,Monday-Sunday: 9:00 AM-11:00 PM
Service Market,480 University Ave W,Mon-Sun: 6:00am - 11:00pm
Elmer's,2802 Santiam Hwy SE,Mon-Sun: 6:00am - 10:00pm
Green Light Food Mart,18535 SW Tualatin Valley Hwy,Mon-Sun: 7:00am - 11:00pm
Plaid Pantry,16155 NW Cornell Rd #100,24/7
Plaid Pantry,13875 SW Farmington Rd,24/7
Downtown Liquor,401 W 11th Ave,Mon-Sun: 10:00am - 10:00pm
Lil Pantry &amp; Market,979 Rogue River Hwy,Mon-Sun: 5:00am - 12:00am
Lil Pantry Market &amp; Deli,2017 NW Vine St,Mon-Sun: 5:00am - 12:00am
Space Age Fuel,22 NW Division St,Mon-Sun: 7:00am - 9:00pm
Plaid Pantry,101 NE 43rd Ave,24/7
Plaid Pantry,1911 NE Baker St,24/7
Minute Market,2608 E Barnett Road,Mon-Sun: 6am-12am
Minute Market,1399 Stewart Ave,Mon-Sun: 6am-12am
Plaid Pantry,1346 Leland Road,24/7
Plaid Pantry,4516 SW Vermont St,24/7
Plaid Pantry,6440 SE 82nd Ave,24/7
Plaid Pantry,14751 SE McLoughlin Blvd,24/7
Plaid Pantry,4030 SE Cesar Estrada Chavez Blvd,24/7
Plaid Pantry,6060 NE Columbia Blvd,24/7
Plaid Pantry,1305 SW 11th Ave,24/7
Plaid Pantry,10355 NE Halsey St,24/7
Plaid Pantry,7210 SE Milwaukie Ave.,24/7
Plaid Pantry,16226 SE Division St.,24/7
Plaid Pantry,6039 NE Win Sivers Dr,24/7
Plaid Pantry,2730 N Lombard St,24/7
Hollywood Food Mart,1510 NE 42nd Ave,Sun-Mon: 6:00am - 12:00am
Holgate Market,4434 SE 112th Ave,Mon-Sun: 7:30 am - 10:30 pm
Stan's Food &amp; Deli,5020 NE 82nd Ave,Mon-Sun: 7:00 am - 12:00 am
Cruise 'N Market and Deli,843 NW 5th St Suite C,Mon-Sun: 6:00am - 10:00pm
Plaid Pantry,3105 River Road S,24/7
Plaid Pantry,2505 State St,24/7
Plaid Pantry,1504 Broadway St,24/7
Plaid Pantry,4617 Silverton Rd NE,24/7
Plaid Pantry,19405 SW Boones Ferry Rd,24/7
West Linn Liquor Store,19373 Willamette Dr.,Mon-Sun: 10:00am - 8:00pm
Sunrise Mart,1510 West Tilghman Street,Mon-Sun: 6:00 am - 12:00 am
Fe Fi's Grocery,1313 Valley View Blvd,Mon-Sun: 6:00am - 10:00pm
To Go Mart,4612 Edgmont Ave,Mon-Sun: 6:00am - 10:00pm
Lukoil,729 Highland Ave,Mon-Sun: 6:00am - 10:00pm
Supermart,809 Lincoln Hwy E,Mon-Sun: 6:00am - 11:00pm
Palmer Express Mini Mart,2911 Old Nazareth Rd.,Mon-Sun: 6am-12am
Millenium Gas,630 Carlisle St,Monday-Sunday: 6:00 AM-10:00 PM
Gulf Gas Station,540 W Dekalb Pike,Mon-Sun: 6:00 am - 11:00 pm
Oxford Valley Mall,2300 Lincoln Hwy,Mon-Sun: 10:00am - 9:00pm
Monroeville Mall,200 Mall Cir Dr,Mon-Sun: 11:00am - 8:00pm
Philadelphia Mills,1455 Franklin Mills Cir,Mon-Sun: 10:00am - 9:00pm
Ross Park Mall,1000 Ross Park Mall Drive,CLOSED
D Pure Convenience Store,100 Fifth Ave. #102,Mon-Sun: 7:00am - 10:00pm
South Hills Village,301 South Hills Village,Monday-Saturday: 11:00 AM-7:00 PM  Sunday: 12:00 PM-6:00 PM
Howard's Auto Service,958 N 13th St,Mon-Sun: 6:00am - 10:00pm
5th &amp; Spruce Market,246 S 5th St,Mon-Sun: 6:00am - 10:00pm
Thorndale Exxon,3727 Lincoln Hwy E,Mon-Sun: 8:00am - 12:00am
York Galleria,2899 Whiteford Rd,Mon-Thu: 11:00am - 7:00pm Fri-Sat: 11:00am - 8:00pm Sun: 11:00am - 5:00pm
BP,1924 Sam Rittenberg Blvd,Monday-Sunday: 6:00 AM-10:00 PM
Circle K,2220 Broad River Rd,24/7
One Stop,2020 Gervais,24/7
Speedmart,1914 Augusta Rd,Monday-Sunday: 7:00 AM-11:00 PM
King Fuel,5403 Two Notch Road,24/7
Circle K,4760 Forest Dr,24/7
Circle K,6122 Garners Ferry Rd,24/7
C Mart,2015 S Irby St,Mon-Sun: 6:00am - 12:00am
Exxon,1389 Celebration Blvd,Mon-Sun: 5:00am - 12:00am
Exxon Shop,1901 W Lucas St,24/7
Shell,247 N Irby St,Mon-Sun: 6:00am - 12:00am
Haywood Mall,700 Haywood Road,Mon-Sat: 11am - 7pm   Sun: 12pm-6pm
BP,777 E Faris Road,Mon-Sun: 7am-11pm
Circle K,820 Church St,24/7
Sunoco,2350 E North Street,24/7
MM Market,784 Easley Bridge Road,Mon-Sun: 6:00 am - 12:00 am
Coastal Pantry,1611 S Kings Hwy,Mon-Sun: 6:00am - 11:00pm
Coastal Grand Mall,2000 Coastal Grand Circle,Mon-Sun: 11:00am - 7:00pm
Ashley MOBIL,3617 Ashley Phosphate Rd,Monday-Sunday: 6:00 AM-12:00 AM
Sky Mart,4881 Rivers Ave,Monday-Sunday: 6:00 AM- 12:00 AM
Northwoods Mall,2150 Northwoods Blvd,Mon-Sun: 11:00am - 7:00pm
Elliot Exxon,1308 Cherry Road,24/7
Westgate Mall,205 W Blackstock Rd,Mon-Sun: 11:00am - 7:00pm
Circle K,1245 Asheville Highway,24/7
Empire Mall,5000 W Empire Mall,Mon-Sat: 10:00am - 9:00pm Sun: 11:00am - 6:00pm
Citgo,13001 Old Hickory Blvd,24/7
Northgate Mall,271 Northgate Mall,Mon-Sun: 11:00am - 7:00pm
Sunrise Market,6701 Ringgold Rd,Mon-Sun: 6am-12am
Victory Fuel,3410 Brainerd Rd,Mon-Sun: 6:00am - 11:00pm
J &amp; R Liquors,2121 E 23rd St #5800,Mon-Sat: 10:00am - 11:00pm Sun: 11:00am - 9:00pm
Hamilton Place Mall,2100 Hamilton Place Blvd,Mon-Sun: 11:00am - 7:00pm
Marathon,901 Crossland Ave,Mon-Sat: 5:30am - 12:00am Sun: 6:00am - 12:00am
Island Oasis,540 Inman St W,Mon-Sun: 5am-12am
Marathon Market,400 S James Campbell Blvd # A,Mon-Sun: 5:00am - 12:00am
Tobacco &amp; Beverage Mart,65 Lantana Road,Mon-Sat: 8:00am - 8:00pm Sun: 12:00pm - 5:00pm
Citgo Food Mart,2332 TN-46,Mon-Sun: 5:00am - 11:00pm
Old Hickory Mall,2021 N Highland Ave,Mon-Sun: 11:00am - 7:00pm
Tri City Wholesale Tobacco,2518 S Roan St,Mon-Sun: 6:30am - 10:00pm
Shell,3104 Memorial Blvd,Mon-Sun: 6:00am - 12:00am
Western Ave Shell,4418 Western Ave,24/7
EZ Food Mart,2310 E Magnolia Ave,Mon-Sat: 6:30 am - 11:30 pm Sun: 7:30 am - 11:30 pm
Woodsmith Market &amp; Deli,2240 Woods-Smith Rd,Mon: 6:30am - 10:00pm Tue-Sun: 6:00am - 10:30pm
West Town Mall,7600 Kingston Pike,Mon-Sun: 10:00am - 9:00pm
Tazewell Pike Mart,5417 Tazewell Pike A,Mon-Sun: 6:00am - 10:00pm
Citgo Gas,4801 N Broadway,Mon-Sun: 6am-12am
Zips Mart,1110 S Maple St,Mon-Sun: 5:00am - 11:00pm
Southern Spirits Discount Liquor,1150 Sparta Pike,Mon-Sat: 9:00am - 7:00pm Sun: 12:00pm - 6:00pm
Millenium Food Mart,946 S Pkwy E,24/7
Cash Express,3233 Ridgeway Rd,24/7
Express Mart,3888 Macon Rd,24/7
Fill 'N' Save,2690 N Watkins St,Unknown
Winchester Food Mart,1707 Winchester Rd,Mon: 6am-10pm Tue-Sun: 5am-10pm
Q Mart,3580 S Mendenhall Rd,24/7
Kangaroo Express,10576 Lebanon Rd,Mon-Sun: 6:00am - 10:00pm
Circle K,2320 Mercury Blvd,24/7
Kangaroo Express,2374 Old Fort Parkway,24/7
GC Mart Gas Station,10 Fairfield Ave,Mon-Sun: 6:00  am  - 12:00  am 
Vape Zone,2613 8th Ave S Suite 105,Mon-Sun: 10:00am - 9:00pm
Kwik Sak,4160 Clarksville Pike,Mon-Sun: 6am-12am
Kwik Sak,3710 Gallatin Pike,Mon-Sun: 6am-12am
Opry Mills,433 Opry Mills Dr,Mon-Sat: 10:00am - 9:00pm Sun: 11:00am - 7:00pm
Kwik Sak Gas Station,2804 Westend Ave,Mon-Thu: 6:00 am - 2:00 am  Fri-Sat: 6:00 am - 3:00 am  Sun: 7:00 am - 12:00 am
Star Stop,7701 CAMERON ROAD,24/7
Arlington-Break Time,3100 Meadowbrook Blvd,24/7
William Food Mart,621 Woodcrest Ln,Mon-Sun: 8:00am - 11:00pm
Smartphone Fix,1902b Baird Farm Rd.,Sun: 1:00 PM - 6:00 PM  Mon - Sat: 9:30 am - 8:00 pm
Smoking Burnouts Smoke Shop,2707 Rogge Ln STE A,Mon-Sun: 10:00am - 12:00am
Barton Creek Square,2901 S Capital of Texas Hwy,Mon-Sun: 10:00am - 9:00pm
Star Stop,3404 U.S. 183,24/7
Star Stop,2909 W ANDERSON LN,24/7
Star Stop,1919 S PLEASANT VALLEY RD,24/7
Star Stop,3828 NORTH I H 35,24/7
Star Stop,5801 N INTERSTATE 35,24/7
Star Stop,6903 BRODIE LN,24/7
Smart Stop,2700 S Congress,Mon-Sun: 6am - 12am
Star Stop,13466 U.S. 183,24/7
Smokin Burnouts Smoke Shop,5501 N Lamar Blvd Ste B105,Mon-Sun: 10:00am - 12:00am
Charge Up,4015 Eastex Fwy,24/7
Charge Up,1410 W Virginia St,Mon-Sun: 6:00am - 12:00am
Sunrise Mall,2370 N Expressway,Mon-Sun: 11:00am - 7:00pm
Charge Up,440 SW Wilshire Blvd,Mon-Sun: 6am-1am
Circle K,2146 N JOSEY LN,Mon-Sun: 6:00am - 10:00pm
Trinity Beer and Wine,2760 E Trinity Mills Rd,Mon-Sat: 7:00 am - 12:00 am  Sun: 9:00 am - 12:00 am
Lakeline Mall,11200 Lakeline Mall Dr,Mon-Wed: 10:00am - 9:00pm Thu: 9:00am - 6:00pm Fri-Sat: 10:00am - 9:00pm Sun: 12:00pm - 6:00pm
Fastway Food Mart,2509 S Bell Blvd.,Mon-Sun: 8:00am - 9:00pm
Chevron Gas,411 Sheldon Rd,24/7
Shell Gas,17141 I-10,24/7
Exxon Gas Station,1103 William D Finch Pkwy,24/7
Post Oak Mall,1500 Harvey Road,Mon-Sun: 11:00am - 7:00pm
Valero,700 E Davis St,24/7
Shell,1203 N Loop 336 E,24/7
Corner Mart,1102 S FM-116,24/7
Green House Food Mart,3322 Sylvan Ave,Daily 7am-10pm
Smoker's XChange 2,18900 Dallas Pkwy,Mon-Sun: 11 am - 11 pm
Smokers Xchange,13505 Montfort Place,24/7
My Beer Store 2,18900 Dallas Parkway Ste 100,Mon-Sun: 7:00 am - 11:50 pm
Drive-In Mobile Mart,5711 E Grand Ave.,Mon-Sun: 5:30am - 12:00am
Circle K,7887 MCCALLUM BLVD,24/7
Zang Mart,1005 S Zang Blvd,Mon-Sun: 7am-12am
EZ Trip Food Store,9798 Forest Lane,Mon-Sun: 9:00 am - 12:00 am
Texaco Gas Station,2745 W Northwest Hwy Community Dr.,Mon-Sun: 5:00 am - 12:00 am
Cielo Vista Mall,8401 Gateway Blvd W,Mon-Sun: 10:00am - 9:00pm
Circle K,10120 Montana Ave.,24/7
Circle K,6095 Montana,24/7
Chevron Westwind,6998 Westwind Dr,Monday-Sunday: 6:30 AM-11:00 PM
RAM Gasoline Station,2329 E Missouri Ave,Monday-Sunday: 6:30 AM-11:00 PM
Super Stop,800 N Carolina Dr,Mon-Sun: 6am-12am
Euless Food Store,305 W Euless Blvd,24/7
Longhorn-Breaktime,101 Longhorn Road,24/7
Valero Gas Station,4821 S Fwy,Mon-Sun: 6 am - 12 am
Conoco,4140 Meadowbrook Dr,Daily 8am-12am
Corner Market,4625 Benbrook Hwy #377,24/7
Lisa's Chicken,2501 Hemphill St.,Mon-Sun: 7 am - 10 am
Charge Up,9836 White Settlement Rd,24/7
Chevron Gas Station,4724 Southeast Loop 820,24/7
Breaktime 25,2800 NE 28th St,Mon-Sun: 6am-11pm
Sierra Market,7777 Warren Parkway #300,Mon-Thu: 9:00 am - 9:30 pm   Fri-Sat: 8:30 am -11 pm  Sun: 12 pm - 8:30 pm
Grand Food Mart,1100 N Grand Ave,Mon-Sun: 6:00am-11:00pm
Q's Smoke and Vape Shop,716 25th St.,Mon-Sun: 9:00am - 9:00pm
Stop In Food Store,1702 Forest Lane,Mon-Sun: 6:00 am - 10:00 pm
Firewheel Town Center,245 Cedar Sage Dr,Mon-Sat: 10:00am - 9:00pm Sun: 12:00pm - 9:00pm
Corner Mart,601 E Central Texas Expressway,Mon-Sun: 6am-12am
Kwick Mart,808 S Ann Blvd,Mon-Sun: 7:00 am - 12:00 am
The Houston Galleria,5085 Westheimer,Mon-Sat: 10:00 am - 9:00 pm  Sun: 11:00 am - 6:00 pm
Texaco Gas Station,6660 Telephone Rd,Mon-Thu: 5:30 am - 11 pm  Fri-Sat: 5:30 am - 12 am
Express Mart,1801 Cypress Station Dr,Mon-Fri: 6 am - 12 am Sat: 7 pm-1 am  Sun: 7 am - 11 pm
Citgo,7050 S Loop E,Mon-Sun: 6am-12am
King Fuels,12202 Almeda Rd,24/7
Shell Gas,2100 Hamilton St,24/7
Food Mart,3250 Old Spanish Trail,24/7
Shell Gas,743 N Sam Houston Pkwy E,24/7
Winners Corner,11219 Eastex Fwy,24/7
King Mart,5800 Almeda Rd,24/7
Chevron Mini Mart,12405 Gessner Dr,24/7
Citgo Gas,15103 Bellaire Blvd,24/7
Shop N Go,1999 Cypress Creek Pkwy,24/7
Charge Up,7480 N Shepherd Dr,24/7
Charge Up,3425 Eastex Fwy,24/7
Shell Gas,392 N Sam Houston Pkwy E,24/7
Charge Up,7401 Cullen Blvd,24/7
Breaktime Cross Timber,1333 Crosstimbers St,24/7
Normandy Investments,703 Normandy St,Mon-Sun: 5am-12am
Westwind Mini Market,13630 Richmond Ave,Mon-Sun: 8:00 am - 11:00 pm
24 Seven #19,3504 S Dairy Ashford Rd,24/7
Zip In Zip Out,8330 W Bellfort Ave,24/7
Star Stop,14101 NORTHWEST FRWY,24/7
Star Stop,1751 MANGUM RD.,24/7
Star Stop,5440 EAST FREEWAY,24/7
Stop n In,5432 Hwy 6 N,Mon-Thur: 8:00am - 11:00pm  Fri-Sat: 8:00am - 12:00am  Sun: 9:00am - 11:00pm
Star Stop,111 Rankin Rd,24/7
Star Stop,451 TC Jester Blvd Houston,24/7
Star Stop,8255 MILLS ROAD,24/7
Star Stop,5248 ALLUM RD,24/7
43 Ventures,1807 W 43rd St,24/7
Chevron,6530 W 43rd St,Mon-Sun: 5:00am  - 1:00am
Star Stop,3215 South Loop,24/7
Tony's Market,6030 Dashwood Dr.,Mon-Sun: 10:00am - 10:00pm
Huffman,11105 FM 1960,24/7
Shell Gas,21502 Aldine Westfield Rd,24/7
76 Gas,15050 Old Humble Rd,24/7
Star Stop,13757 WILL CLAYTON PARKWAY,24/7
Lee Food Mart,5827 N Sam Houston Pkwy E,24/7
Star Stop,19555 MCKAY BLVD,24/7
24/7 Mart,560 W Pipeline Rd,24/7
North East Mall,1101 Melbourne Rd,Mon-Thu: 10:00am - 9:00pm Fri-Sat: 9:00am - 9:00pm Sun: 11:00am - 7:00pm
Irving-Break Time 24,4125 W Airport Fwy,24/7
Texaco,820 S Belt Line Rd,Mon-Fri 6am - 12am; Sat-Sun 7am-12am
Charge Up,2112 N O'Connor Rd,24/7
MacArthur Beer-Win &amp; Gas,705 N MacArthur Blvd,Mon-Sun: 6:00am - 12:00am
Valley Ranch Shell,9975 N MacArthur Blvd,6:00am - 12:00 am Mon-Sat; 8:00am - 12:00am Sun
KK Mart,227 N Henderson Road,24/7
Gateway Foodmart,100 E Hallmark Ave,Mon-Sun: 5:00am - 12:00am
Kingwood Food,1800 Northpark Dr,24/7
Mall de Norte,5300 San Dario Avenue,Mon-Sun: 11:00am - 7:00pm
Kwik Mart-Conoco,1235 S State Hwy 121 Bus,24/7
Charge Up,1721 E State HWY,Mon-Sun: 6am-12am
Charge Up 6,7201 Indiana Ave,Mon-Sun: 6:00am -12:00am
La Plaza Mall,2200 S 10th St,Mon-Sun: 10:00am - 9:00pm
Midland Park Mall,4511 N Midkiff Rd Dr,Mon-Sat: 10:00am - 9:00pm Sun: 11:00am - 7:00pm
Kwik Phone Repair,6630 Rufe Snow Dr,Mon-Sun: 9:30am - 8:00pm
Charge Up,1551 16th St,6am-12am
